SR,ITEM_CODE,PARENT_ID,DESIGN_CODE,CATEGORY,SUB_CATEGORY,,DIAMOND_TYPE,SHAPE,COLOR,CLARITY,SETTING_TYPE,PIECES,SIZE_MIN,SIZE_MAX,TOTAL_WGT,,METAL_TYPE,METAL_STAMP,APPX_WEIGHT,,NATURAL_PRICE,NATURAL_OFFER_PRICE,LAB_PRICE,LAB_OFFER_PRICE,VARIANT_TAXABLE,,Rings_SIZE,GENDER,IS_ENGRAVING,SHIPMENT_DAYS,MATCHING_ITEMCODE,,IMG1,IMG2,IMG3,IMG4,IMG5,VIDEO,,TITLE,LONG_DESC,SHORT_DESC,COLLECTIONS,OCCASIONS,TAGS,PUBLISHED,SLUG
357,RHRG57,RHWG57,RH_RD_107,Rings,Engagement Rings,,Center,Round,,,Halo,,1,1,,,Rose Gold,14K,5.07,,1199,,767,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RHRG57/RHRG57-01.png,https://bellamy.blob.core.windows.net/bellamy/RHRG57/RHRG57-02.png,https://bellamy.blob.core.windows.net/bellamy/RHRG57/RHRG57-03.png,https://bellamy.blob.core.windows.net/bellamy/RHRG57/RHRG57-04.png,https://bellamy.blob.core.windows.net/bellamy/RHRG57/RHRG57-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RHRG57/RHRG57-V1.mp4,,14K Rose Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Halo, Rose Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,92,0.009,0.009,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,RHYG59,,RH_RD_112,Rings,Engagement Rings,,Center,Round,,,Halo,,0.6,1.3,,,Yellow Gold,14K,4.11,,1011,,636,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RHYG59/RHYG59-01.png,https://bellamy.blob.core.windows.net/bellamy/RHYG59/RHYG59-02.png,https://bellamy.blob.core.windows.net/bellamy/RHYG59/RHYG59-03.png,https://bellamy.blob.core.windows.net/bellamy/RHYG59/RHYG59-04.png,https://bellamy.blob.core.windows.net/bellamy/RHYG59/RHYG59-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RHYG59/RHYG59-V1.mp4,,14K Yellow Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Halo, Yellow Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,84,0.009,0.015,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,RHWG59,RHWG59,RH_RD_112,Rings,Engagement Rings,,Center,Round,,,Halo,,0.6,1.3,,,White Gold,14K,4.11,,1011,,636,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RHWG59/RHWG59-01.png,https://bellamy.blob.core.windows.net/bellamy/RHWG59/RHWG59-02.png,https://bellamy.blob.core.windows.net/bellamy/RHWG59/RHWG59-03.png,https://bellamy.blob.core.windows.net/bellamy/RHWG59/RHWG59-04.png,https://bellamy.blob.core.windows.net/bellamy/RHWG59/RHWG59-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RHWG59/RHWG59-V1.mp4,,14K White Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Halo, White Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,84,0.009,0.015,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,RHRG59,RHWG59,RH_RD_112,Rings,Engagement Rings,,Center,Round,,,Halo,,0.6,1.3,,,Rose Gold,14K,4.11,,1011,,636,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RHRG59/RHRG59-01.png,https://bellamy.blob.core.windows.net/bellamy/RHRG59/RHRG59-02.png,https://bellamy.blob.core.windows.net/bellamy/RHRG59/RHRG59-03.png,https://bellamy.blob.core.windows.net/bellamy/RHRG59/RHRG59-04.png,https://bellamy.blob.core.windows.net/bellamy/RHRG59/RHRG59-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RHRG59/RHRG59-V1.mp4,,14K Rose Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Halo, Rose Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,84,0.009,0.015,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,RHYG61,,RH_RD_146,Rings,Engagement Rings,,Center,Round,,,Halo,,1.2,1.2,,,Yellow Gold,14K,4.13,,844,,575,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RHYG61/RHYG61-01.png,https://bellamy.blob.core.windows.net/bellamy/RHYG61/RHYG61-02.png,https://bellamy.blob.core.windows.net/bellamy/RHYG61/RHYG61-03.png,https://bellamy.blob.core.windows.net/bellamy/RHYG61/RHYG61-04.png,https://bellamy.blob.core.windows.net/bellamy/RHYG61/RHYG61-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RHYG61/RHYG61-V1.mp4,,14K Yellow Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Halo, Yellow Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,32,0.0175,0.0175,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,RHWG61,RHWG61,RH_RD_146,Rings,Engagement Rings,,Center,Round,,,Halo,,1.2,1.2,,,White Gold,14K,4.13,,844,,575,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RHWG61/RHWG61-01.png,https://bellamy.blob.core.windows.net/bellamy/RHWG61/RHWG61-02.png,https://bellamy.blob.core.windows.net/bellamy/RHWG61/RHWG61-03.png,https://bellamy.blob.core.windows.net/bellamy/RHWG61/RHWG61-04.png,https://bellamy.blob.core.windows.net/bellamy/RHWG61/RHWG61-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RHWG61/RHWG61-V1.mp4,,14K White Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Halo, White Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,32,0.0175,0.0175,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,RHRG61,RHWG61,RH_RD_146,Rings,Engagement Rings,,Center,Round,,,Halo,,1.2,1.2,,,Rose Gold,14K,4.13,,844,,575,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RHRG61/RHRG61-01.png,https://bellamy.blob.core.windows.net/bellamy/RHRG61/RHRG61-02.png,https://bellamy.blob.core.windows.net/bellamy/RHRG61/RHRG61-03.png,https://bellamy.blob.core.windows.net/bellamy/RHRG61/RHRG61-04.png,https://bellamy.blob.core.windows.net/bellamy/RHRG61/RHRG61-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RHRG61/RHRG61-V1.mp4,,14K Rose Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Halo, Rose Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,32,0.0175,0.0175,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,RHYG63,,RH_RD_152,Rings,Engagement Rings,,Center,Round,,,Halo,,1,3.5,,,Yellow Gold,14K,4.97,,1159,,745,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RHYG63/RHYG63-01.png,https://bellamy.blob.core.windows.net/bellamy/RHYG63/RHYG63-02.png,https://bellamy.blob.core.windows.net/bellamy/RHYG63/RHYG63-03.png,https://bellamy.blob.core.windows.net/bellamy/RHYG63/RHYG63-04.png,https://bellamy.blob.core.windows.net/bellamy/RHYG63/RHYG63-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RHYG63/RHYG63-V1.mp4,,14K Yellow Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Halo, Yellow Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,56,0.01,0.035,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,RHWG63,RHWG63,RH_RD_152,Rings,Engagement Rings,,Center,Round,,,Halo,,1,3.5,,,White Gold,14K,4.97,,1159,,745,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RHWG63/RHWG63-01.png,https://bellamy.blob.core.windows.net/bellamy/RHWG63/RHWG63-02.png,https://bellamy.blob.core.windows.net/bellamy/RHWG63/RHWG63-03.png,https://bellamy.blob.core.windows.net/bellamy/RHWG63/RHWG63-04.png,https://bellamy.blob.core.windows.net/bellamy/RHWG63/RHWG63-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RHWG63/RHWG63-V1.mp4,,14K White Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Halo, White Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,56,0.01,0.035,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,RHRG63,RHWG63,RH_RD_152,Rings,Engagement Rings,,Center,Round,,,Halo,,1,3.5,,,Rose Gold,14K,4.97,,1159,,745,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RHRG63/RHRG63-01.png,https://bellamy.blob.core.windows.net/bellamy/RHRG63/RHRG63-02.png,https://bellamy.blob.core.windows.net/bellamy/RHRG63/RHRG63-03.png,https://bellamy.blob.core.windows.net/bellamy/RHRG63/RHRG63-04.png,https://bellamy.blob.core.windows.net/bellamy/RHRG63/RHRG63-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RHRG63/RHRG63-V1.mp4,,14K Rose Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Halo, Rose Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,56,0.01,0.035,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,RHYG65,,RH_RD_157,Rings,Engagement Rings,,Center,Round,,,Halo,,1,2,,,Yellow Gold,14K,5.49,,1203,,794,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RHYG65/RHYG65-01.png,https://bellamy.blob.core.windows.net/bellamy/RHYG65/RHYG65-02.png,https://bellamy.blob.core.windows.net/bellamy/RHYG65/RHYG65-03.png,https://bellamy.blob.core.windows.net/bellamy/RHYG65/RHYG65-04.png,https://bellamy.blob.core.windows.net/bellamy/RHYG65/RHYG65-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RHYG65/RHYG65-V1.mp4,,14K Yellow Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Halo, Yellow Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,30,0.0175,2,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,RHWG65,RHWG65,RH_RD_157,Rings,Engagement Rings,,Center,Round,,,Halo,,1,2,,,White Gold,14K,5.49,,1203,,794,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RHWG65/RHWG65-01.png,https://bellamy.blob.core.windows.net/bellamy/RHWG65/RHWG65-02.png,https://bellamy.blob.core.windows.net/bellamy/RHWG65/RHWG65-03.png,https://bellamy.blob.core.windows.net/bellamy/RHWG65/RHWG65-04.png,https://bellamy.blob.core.windows.net/bellamy/RHWG65/RHWG65-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RHWG65/RHWG65-V1.mp4,,14K White Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Halo, White Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,30,0.0175,0.06,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,RHRG65,RHWG65,RH_RD_157,Rings,Engagement Rings,,Center,Round,,,Halo,,1,2,,,Rose Gold,14K,5.49,,1203,,794,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RHRG65/RHRG65-01.png,https://bellamy.blob.core.windows.net/bellamy/RHRG65/RHRG65-02.png,https://bellamy.blob.core.windows.net/bellamy/RHRG65/RHRG65-03.png,https://bellamy.blob.core.windows.net/bellamy/RHRG65/RHRG65-04.png,https://bellamy.blob.core.windows.net/bellamy/RHRG65/RHRG65-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RHRG65/RHRG65-V1.mp4,,14K Rose Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Halo, Rose Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,30,0.0175,0.06,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,RHYG70,,RH_RD_193,Rings,Engagement Rings,,Center,Round,,,Halo,,1,1,,,Yellow Gold,14K,2.89,,574,,396,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RHYG70/RHYG70-01.png,https://bellamy.blob.core.windows.net/bellamy/RHYG70/RHYG70-02.png,https://bellamy.blob.core.windows.net/bellamy/RHYG70/RHYG70-03.png,https://bellamy.blob.core.windows.net/bellamy/RHYG70/RHYG70-04.png,https://bellamy.blob.core.windows.net/bellamy/RHYG70/RHYG70-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RHYG70/RHYG70-V1.mp4,,14K Yellow Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Halo, Yellow Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,74,0.005,0.005,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EarRings,,
371,RHWG70,RHWG70,RH_RD_193,Rings,Engagement Rings,,Center,Round,,,Halo,,1,1,,,White Gold,14K,2.89,,574,,396,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RHWG70/RHWG70-01.png,https://bellamy.blob.core.windows.net/bellamy/RHWG70/RHWG70-02.png,https://bellamy.blob.core.windows.net/bellamy/RHWG70/RHWG70-03.png,https://bellamy.blob.core.windows.net/bellamy/RHWG70/RHWG70-04.png,https://bellamy.blob.core.windows.net/bellamy/RHWG70/RHWG70-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RHWG70/RHWG70-V1.mp4,,14K White Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Halo, White Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,74,0.005,0.005,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EarRings,,
372,RHRG70,RHWG70,RH_RD_193,Rings,Engagement Rings,,Center,Round,,,Halo,,1,1,,,Rose Gold,14K,2.89,,574,,396,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RHRG70/RHRG70-01.png,https://bellamy.blob.core.windows.net/bellamy/RHRG70/RHRG70-02.png,https://bellamy.blob.core.windows.net/bellamy/RHRG70/RHRG70-03.png,https://bellamy.blob.core.windows.net/bellamy/RHRG70/RHRG70-04.png,https://bellamy.blob.core.windows.net/bellamy/RHRG70/RHRG70-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RHRG70/RHRG70-V1.mp4,,14K Rose Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Halo, Rose Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,74,0.005,0.005,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EarRings,,
373,RDYG73,,RP_RD_101,Rings,Engagement Rings,,Center,Round,,,Side Stone,,1,1,,,Yellow Gold,14K,3.97,,743,,527,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RDYG73/RDYG73-01.png,https://bellamy.blob.core.windows.net/bellamy/RDYG73/RDYG73-02.png,https://bellamy.blob.core.windows.net/bellamy/RDYG73/RDYG73-03.png,https://bellamy.blob.core.windows.net/bellamy/RDYG73/RDYG73-04.png,https://bellamy.blob.core.windows.net/bellamy/RDYG73/RDYG73-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RDYG73/RDYG73-V1.mp4,,14K Yellow Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Side Stone, Yellow Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,68,0.0067,0.0067,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EarRings,,
374,RDWG73,RDWG73,RP_RD_101,Rings,Engagement Rings,,Center,Round,,,Side Stone,,1,1,,,White Gold,14K,3.97,,743,,527,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RDWG73/RDWG73-01.png,https://bellamy.blob.core.windows.net/bellamy/RDWG73/RDWG73-02.png,https://bellamy.blob.core.windows.net/bellamy/RDWG73/RDWG73-03.png,https://bellamy.blob.core.windows.net/bellamy/RDWG73/RDWG73-04.png,https://bellamy.blob.core.windows.net/bellamy/RDWG73/RDWG73-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RDWG73/RDWG73-V1.mp4,,14K White Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Side Stone, White Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,68,0.0067,0.0067,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EarRings,,
375,RDRG73,RDWG73,RP_RD_101,Rings,Engagement Rings,,Center,Round,,,Side Stone,,1,1,,,Rose Gold,14K,3.97,,743,,527,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RDRG73/RDRG73-01.png,https://bellamy.blob.core.windows.net/bellamy/RDRG73/RDRG73-02.png,https://bellamy.blob.core.windows.net/bellamy/RDRG73/RDRG73-03.png,https://bellamy.blob.core.windows.net/bellamy/RDRG73/RDRG73-04.png,https://bellamy.blob.core.windows.net/bellamy/RDRG73/RDRG73-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RDRG73/RDRG73-V1.mp4,,14K Rose Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Side Stone, Rose Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,68,0.0067,0.0067,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EarRings,,
